,dog,cat,elephant,dolphin,penguin,giraffe,tiger,horse,butterfly,bird
0,0.859375,0.80859375,0.8828125,0.703125,0.78125,0.73828125,0.765625,0.87890625,0.77734375,0.796875
1,0.76171875,0.73828125,0.7890625,0.63671875,0.69921875,0.66796875,0.6640625,0.7734375,0.703125,0.72265625
2,0.79296875,0.76171875,0.82421875,0.65625,0.7265625,0.703125,0.6953125,0.7890625,0.734375,0.76171875
3,0.83984375,0.8125,0.87109375,0.69140625,0.765625,0.734375,0.73046875,0.84375,0.7734375,0.81640625
4,0.8671875,0.828125,0.8984375,0.703125,0.765625,0.75390625,0.75,0.8671875,0.78515625,0.83203125
5,0.87890625,0.8359375,0.921875,0.71484375,0.78125,0.7578125,0.7578125,0.890625,0.80859375,0.859375
6,0.8984375,0.8359375,0.94921875,0.734375,0.796875,0.78125,0.7890625,0.9140625,0.80859375,0.87109375
7,0.9140625,0.8515625,0.9765625,0.7421875,0.8125,0.7890625,0.78125,0.92578125,0.82421875,0.87890625
8,0.90625,0.8515625,0.96484375,0.74609375,0.8203125,0.78515625,0.7890625,0.921875,0.8359375,0.89453125
9,0.9140625,0.86328125,1.0,0.74609375,0.8203125,0.79296875,0.796875,0.9296875,0.83984375,0.88671875
00,1.0078125,0.9453125,1.078125,0.828125,0.90234375,0.8671875,0.890625,1.0078125,0.921875,1.0
01,1.03125,0.984375,1.078125,0.859375,0.9140625,0.89453125,0.89453125,1.0546875,0.95703125,0.9765625
02,1.0390625,0.98828125,1.1328125,0.875,0.9453125,0.92578125,0.953125,1.0859375,0.98828125,1.0546875
03,1.0859375,1.0234375,1.1484375,0.88671875,0.984375,0.9453125,0.953125,1.140625,1.0,1.078125
04,1.0859375,1.0390625,1.1484375,0.89453125,0.96484375,0.95703125,0.95703125,1.140625,1.03125,1.078125
05,1.078125,1.015625,1.1484375,0.87890625,0.9609375,0.94140625,0.953125,1.109375,1.0078125,1.0625
06,1.0703125,1.015625,1.15625,0.8984375,0.96875,0.96484375,0.96484375,1.125,1.0234375,1.09375
07,1.09375,1.0390625,1.171875,0.89453125,0.984375,0.96484375,0.953125,1.1171875,1.015625,1.09375
08,1.078125,1.0078125,1.15625,0.89453125,0.96875,0.94140625,0.9375,1.109375,1.0078125,1.0625
09,1.078125,1.0234375,1.171875,0.890625,0.96875,0.94921875,0.921875,1.1015625,1.0,1.046875
10,0.921875,0.85546875,0.984375,0.73828125,0.82421875,0.78515625,0.78125,0.90625,0.82421875,0.890625
11,0.94140625,0.8984375,1.15625,0.77734375,0.859375,0.81640625,0.84375,0.94140625,0.8671875,0.93359375
12,0.93359375,0.89453125,1.0,0.7734375,0.84375,0.8125,0.8203125,0.9375,0.86328125,0.9140625
13,0.984375,0.91015625,1.03125,0.79296875,0.875,0.8515625,0.8515625,0.9765625,0.890625,0.94921875
14,1.015625,0.90234375,1.046875,0.7890625,0.8671875,0.83984375,0.8515625,0.95703125,0.87890625,0.94140625
15,0.98046875,0.90625,1.0078125,0.78125,0.86328125,0.81640625,0.82421875,0.9765625,0.87109375,0.93359375
16,0.9765625,0.92578125,1.046875,0.78125,0.875,0.828125,0.8671875,0.97265625,0.890625,0.9296875
17,0.96875,0.94140625,1.0625,0.80078125,0.890625,0.85546875,0.85546875,1.0,0.89453125,0.9453125
18,0.98828125,0.9296875,1.046875,0.796875,0.88671875,0.84375,0.859375,0.97265625,0.88671875,0.953125
19,0.96875,0.91796875,1.0703125,0.80078125,0.89453125,0.85546875,0.859375,0.9921875,0.890625,0.9453125
20,0.95703125,0.91015625,1.0,0.78125,0.85546875,0.82421875,0.84375,0.94921875,0.859375,0.9296875
21,0.9921875,0.9296875,1.046875,0.8125,0.8984375,0.8515625,0.87109375,0.984375,0.8984375,0.96875
22,1.0,0.96484375,1.078125,0.8046875,0.890625,0.87890625,0.890625,0.98828125,0.9140625,0.96484375
23,1.0234375,0.96875,1.078125,0.82421875,0.90625,0.87890625,0.90234375,1.015625,0.921875,0.99609375
24,0.97265625,0.9296875,1.03125,0.8125,0.875,0.86328125,0.8671875,1.0078125,0.89453125,0.95703125
25,1.0078125,0.90625,1.0234375,0.81640625,0.88671875,0.83984375,0.85546875,0.98828125,0.8984375,0.953125
26,1.0234375,0.9609375,1.1015625,0.859375,0.9375,0.90625,0.90625,1.0625,0.9375,0.99609375
27,1.015625,0.97265625,1.109375,0.84765625,0.95703125,0.89453125,0.9140625,1.03125,0.94140625,1.015625
28,1.0234375,0.92578125,1.1015625,0.859375,0.9609375,0.9140625,0.90625,1.046875,0.94140625,1.015625
29,1.0390625,0.97265625,1.125,0.859375,0.9609375,0.90234375,0.890625,1.0703125,0.94140625,1.0234375
30,0.98046875,0.91015625,1.0234375,0.8125,0.89453125,0.8359375,0.83984375,0.984375,0.8984375,0.94921875
31,1.03125,0.97265625,1.125,0.859375,0.953125,0.91796875,0.9375,1.1015625,0.9609375,1.0078125
32,1.0234375,0.95703125,1.078125,0.8515625,0.9453125,0.9140625,0.92578125,1.03125,0.94140625,0.9765625
33,1.0390625,0.96484375,1.09375,0.8515625,0.92578125,0.921875,0.921875,1.03125,0.953125,1.015625
34,1.0625,0.99609375,1.140625,0.86328125,0.953125,0.9375,0.91796875,1.0859375,0.96484375,1.03125
35,1.0625,0.96875,1.1171875,0.85546875,0.9375,0.90234375,0.921875,1.0546875,0.94921875,1.015625
36,1.0390625,1.0,1.125,0.87109375,0.95703125,0.94140625,0.9375,1.078125,0.98828125,1.0390625
37,1.0703125,1.03125,1.140625,0.890625,0.97265625,0.94921875,0.9609375,1.1171875,0.9921875,1.046875
38,1.046875,1.0,1.15625,0.89453125,0.9921875,0.94140625,0.93359375,1.09375,0.98046875,1.0703125
39,1.0703125,1.0234375,1.125,0.890625,0.953125,0.93359375,0.890625,1.1015625,0.96484375,1.03125
40,1.0,0.9453125,1.046875,0.8359375,0.8984375,0.875,0.875,1.015625,0.91796875,0.9453125
41,1.0546875,1.0234375,1.140625,0.890625,0.96875,0.9296875,0.9453125,1.078125,0.9921875,1.0
42,1.078125,1.0,1.109375,0.8671875,0.96875,0.92578125,0.9375,1.0625,0.97265625,1.0390625
43,1.0703125,1.03125,1.171875,0.90625,0.96875,0.9375,0.953125,1.109375,0.98828125,1.0390625
44,1.0703125,1.0078125,1.15625,0.88671875,0.9453125,0.9296875,0.92578125,1.109375,0.9609375,1.0234375
45,1.0234375,0.96875,1.078125,0.85546875,0.9375,0.89453125,0.90625,1.046875,0.95703125,0.99609375
46,1.0546875,1.015625,1.1875,0.90625,0.99609375,0.97265625,0.98046875,1.1171875,1.0078125,1.0390625
47,1.1015625,1.0546875,1.1484375,0.8984375,0.99609375,0.953125,0.93359375,1.1328125,0.97265625,1.0234375
48,1.0625,1.0390625,1.125,0.8828125,0.984375,0.9296875,0.9453125,1.1015625,0.984375,1.046875
49,1.09375,1.0078125,1.15625,0.8984375,1.0,0.94140625,0.9453125,1.09375,0.99609375,1.0390625
50,0.99609375,0.9296875,1.0625,0.8359375,0.8984375,0.86328125,0.875,1.0,0.90625,0.9765625
51,1.0546875,1.0234375,1.140625,0.8828125,0.9765625,0.9375,0.9453125,1.140625,1.0,1.0546875
52,1.046875,1.0234375,1.15625,0.890625,0.9921875,0.94140625,0.95703125,1.1328125,0.99609375,1.0703125
53,1.0625,1.0703125,1.171875,0.88671875,1.0,0.96875,1.0078125,1.109375,0.98046875,1.0625
54,1.078125,1.0390625,1.140625,0.87890625,0.9921875,0.94140625,0.953125,1.1015625,1.0078125,1.0390625
55,1.0390625,1.0078125,1.1328125,0.8828125,0.9765625,0.9375,0.9375,1.078125,0.9765625,1.0546875
56,1.09375,1.015625,1.15625,0.8984375,0.96875,0.9375,0.9453125,1.1171875,1.0,1.078125
57,1.125,1.0546875,1.171875,0.88671875,0.98828125,0.9609375,0.953125,1.125,1.0234375,1.0625
58,1.09375,1.0078125,1.1796875,0.91015625,1.0,0.98828125,0.9765625,1.1171875,1.0078125,1.0859375
59,1.09375,0.9921875,1.15625,0.8984375,0.9765625,0.96875,0.9765625,1.09375,1.0078125,1.0703125
60,1.03125,0.95703125,1.0703125,0.8359375,0.921875,0.890625,0.9140625,1.0625,0.9453125,1.03125
61,1.109375,1.0625,1.203125,0.90625,0.9921875,0.9765625,0.953125,1.140625,0.9921875,1.09375
62,1.1015625,1.0703125,1.171875,0.9140625,1.0,0.953125,0.9765625,1.140625,0.99609375,1.0625
63,1.125,1.046875,1.203125,0.90234375,0.984375,0.95703125,0.9765625,1.140625,1.0,1.0703125
64,1.0625,1.0234375,1.125,0.875,0.9609375,0.92578125,0.96484375,1.1015625,0.9609375,1.0
65,1.0703125,1.0234375,1.1875,0.87109375,0.96875,0.94921875,0.9921875,1.109375,0.99609375,1.0546875
66,1.09375,1.046875,1.1875,0.90625,1.0,0.96875,0.984375,1.140625,0.9921875,1.0546875
67,1.1171875,1.1015625,1.1875,0.92578125,1.0,0.984375,0.96875,1.1796875,1.015625,1.046875
68,1.1171875,1.03125,1.1953125,0.90625,1.0,0.96875,0.96875,1.1484375,1.0,1.1015625
69,1.15625,1.0546875,1.171875,0.921875,1.015625,0.9609375,0.9609375,1.125,0.9921875,1.109375
70,1.046875,1.0078125,1.125,0.859375,0.94140625,0.921875,0.9296875,1.046875,0.9609375,0.99609375
71,1.109375,1.0625,1.234375,0.9140625,1.015625,0.9765625,1.0,1.1640625,1.03125,1.0625
72,1.109375,1.0390625,1.15625,0.890625,1.0,0.96484375,0.96875,1.109375,1.0,1.0859375
73,1.1171875,1.109375,1.1875,0.91796875,1.0,0.9921875,1.0,1.1328125,1.0078125,1.078125
74,1.1328125,1.0703125,1.21875,0.91015625,1.015625,0.99609375,0.9765625,1.1328125,1.03125,1.078125
75,1.0546875,0.97265625,1.0859375,0.86328125,0.953125,0.91796875,0.9140625,1.1171875,0.96484375,1.046875
76,1.140625,1.0234375,1.203125,0.8984375,0.99609375,0.953125,0.9765625,1.1328125,1.0234375,1.078125
77,1.109375,1.0703125,1.203125,0.91796875,1.0078125,0.9921875,0.97265625,1.15625,1.03125,1.109375
78,1.125,1.0546875,1.171875,0.91796875,0.984375,0.95703125,0.953125,1.140625,1.0234375,1.109375
79,1.1171875,1.078125,1.203125,0.921875,0.9921875,0.96875,0.95703125,1.1328125,1.03125,1.109375
80,1.03125,1.0078125,1.1015625,0.86328125,0.9296875,0.89453125,0.8828125,1.0546875,0.953125,1.0078125
81,1.1328125,1.03125,1.2109375,0.92578125,1.015625,0.96484375,0.953125,1.125,1.0390625,1.0703125
82,1.1015625,1.0546875,1.203125,0.93359375,1.0234375,0.9765625,0.9921875,1.1484375,1.0546875,1.0625
83,1.1015625,1.046875,1.21875,0.91015625,1.015625,0.9921875,0.9765625,1.1328125,1.0390625,1.09375
84,1.09375,1.0234375,1.1875,0.890625,0.99609375,0.98046875,0.94921875,1.125,1.0234375,1.03125
85,1.0859375,1.0546875,1.1796875,0.90234375,0.9765625,0.9609375,0.96484375,1.0859375,1.015625,1.0625
86,1.1171875,1.0859375,1.1875,0.90234375,1.0,0.96484375,0.9921875,1.125,1.015625,1.1015625
87,1.125,1.0859375,1.1953125,0.91796875,1.03125,0.97265625,0.96875,1.15625,1.0390625,1.09375
88,1.09375,1.0546875,1.1875,0.89453125,0.9921875,0.94921875,0.94140625,1.1328125,1.03125,1.078125
89,1.140625,1.0546875,1.2109375,0.89453125,1.0078125,1.0,0.953125,1.1328125,1.046875,1.09375
90,1.046875,0.99609375,1.078125,0.83984375,0.9375,0.8984375,0.8984375,1.03125,0.94921875,0.99609375
91,1.1015625,1.0703125,1.1875,0.91015625,1.0,0.96875,0.96484375,1.1328125,1.015625,1.109375
92,1.09375,1.03125,1.1875,0.9296875,1.015625,0.98046875,1.0078125,1.125,1.03125,1.09375
93,1.140625,1.0390625,1.1953125,0.89453125,1.0234375,0.953125,0.9921875,1.1484375,1.0078125,1.09375
94,1.109375,1.03125,1.1953125,0.92578125,1.0,0.98046875,0.9921875,1.1171875,1.015625,1.0546875
95,1.1015625,0.99609375,1.140625,0.890625,0.96875,0.953125,0.96484375,1.09375,0.98828125,1.0390625
96,1.1328125,1.0546875,1.1953125,0.921875,0.9921875,0.99609375,0.9921875,1.1484375,1.0234375,1.09375
97,1.109375,1.0546875,1.234375,0.91796875,1.03125,1.0,0.9765625,1.1484375,1.03125,1.0625
98,1.1328125,1.046875,1.1640625,0.90625,1.03125,0.97265625,0.984375,1.1015625,0.99609375,1.0625
99,1.0859375,1.0078125,1.15625,0.87109375,0.96875,0.94921875,0.92578125,1.0390625,0.96484375,1.0078125
000,1.0234375,0.9375,1.0703125,0.8125,0.91015625,0.86328125,0.859375,1.046875,0.90234375,0.97265625
001,1.125,1.0625,1.1796875,0.9140625,1.015625,0.96484375,0.96875,1.125,1.015625,1.0625
002,1.1484375,1.0703125,1.203125,0.94921875,1.0390625,0.99609375,0.984375,1.1171875,1.03125,1.09375
003,1.21875,1.1328125,1.234375,0.95703125,1.0703125,1.03125,1.046875,1.2265625,1.0625,1.1484375
004,1.2109375,1.125,1.28125,0.984375,1.0625,1.0234375,1.0859375,1.234375,1.0859375,1.1484375
005,1.1875,1.140625,1.234375,0.984375,1.0703125,1.03125,1.0390625,1.2421875,1.0859375,1.125
006,1.2265625,1.1171875,1.25,0.984375,1.09375,1.046875,1.0390625,1.234375,1.0859375,1.15625
007,1.1953125,1.1484375,1.2421875,0.953125,1.0703125,1.03125,1.0234375,1.203125,1.046875,1.15625
008,1.234375,1.1875,1.2890625,1.0078125,1.1328125,1.0234375,1.0703125,1.25,1.125,1.1796875
009,1.2265625,1.1796875,1.296875,1.0078125,1.1015625,1.0546875,1.0703125,1.25,1.109375,1.171875
010,1.1171875,1.1328125,1.265625,0.9609375,1.046875,1.015625,1.03125,1.2421875,1.0625,1.125
011,1.2109375,1.1015625,1.328125,0.9765625,1.0625,1.0078125,1.046875,1.2265625,1.0859375,1.15625
012,1.234375,1.109375,1.28125,1.0078125,1.0859375,1.0390625,1.0703125,1.21875,1.09375,1.1796875
013,1.2734375,1.1796875,1.328125,1.015625,1.1171875,1.0625,1.125,1.265625,1.125,1.203125
014,1.28125,1.1171875,1.28125,1.0,1.125,1.078125,1.09375,1.2421875,1.125,1.1953125
015,1.2578125,1.1484375,1.2890625,1.0234375,1.109375,1.046875,1.0546875,1.2734375,1.125,1.234375
016,1.234375,1.140625,1.3359375,1.0234375,1.109375,1.0546875,1.09375,1.28125,1.140625,1.203125
017,1.2734375,1.203125,1.3359375,1.0078125,1.140625,1.0625,1.0625,1.2890625,1.15625,1.2265625
018,1.2421875,1.1953125,1.34375,1.046875,1.15625,1.078125,1.125,1.3046875,1.15625,1.2421875
019,1.28125,1.2109375,1.328125,1.03125,1.1484375,1.0703125,1.125,1.25,1.15625,1.2265625
020,1.203125,1.1328125,1.28125,1.0078125,1.09375,1.03125,1.09375,1.2890625,1.109375,1.2109375
021,1.28125,1.140625,1.3125,1.03125,1.1484375,1.0703125,1.0859375,1.328125,1.1484375,1.2109375
022,1.234375,1.1640625,1.296875,1.0390625,1.1328125,1.078125,1.1328125,1.25,1.1328125,1.25
023,1.3125,1.2265625,1.359375,1.0390625,1.1640625,1.09375,1.125,1.3515625,1.15625,1.25
024,1.2734375,1.1796875,1.3515625,1.0546875,1.15625,1.09375,1.125,1.3046875,1.15625,1.21875
025,1.28125,1.1484375,1.328125,1.015625,1.1171875,1.0546875,1.078125,1.25,1.1328125,1.21875
026,1.2734375,1.203125,1.375,1.0703125,1.171875,1.1171875,1.140625,1.3203125,1.1875,1.28125
027,1.296875,1.21875,1.34375,1.0625,1.171875,1.125,1.125,1.328125,1.1796875,1.2734375
028,1.265625,1.1796875,1.375,1.046875,1.15625,1.1328125,1.125,1.296875,1.171875,1.265625
029,1.34375,1.25,1.40625,1.0703125,1.21875,1.140625,1.1484375,1.3359375,1.1875,1.2734375
030,1.265625,1.15625,1.28125,1.0078125,1.09375,1.046875,1.078125,1.3046875,1.125,1.1953125
031,1.2734375,1.1875,1.34375,1.03125,1.1484375,1.078125,1.1015625,1.296875,1.171875,1.2421875
032,1.3125,1.21875,1.3515625,1.0625,1.171875,1.125,1.15625,1.328125,1.1640625,1.2578125
033,1.2734375,1.1796875,1.359375,1.03125,1.1484375,1.1015625,1.09375,1.296875,1.1328125,1.25
034,1.3046875,1.2578125,1.390625,1.0859375,1.1640625,1.1328125,1.1328125,1.3203125,1.1875,1.28125
035,1.296875,1.1953125,1.3515625,1.0390625,1.15625,1.1015625,1.140625,1.3359375,1.140625,1.2109375
036,1.3203125,1.2265625,1.34375,1.078125,1.1875,1.1484375,1.125,1.34375,1.171875,1.296875
037,1.3359375,1.2578125,1.328125,1.0625,1.1484375,1.125,1.1015625,1.34375,1.1875,1.265625
038,1.3046875,1.1796875,1.375,1.078125,1.171875,1.1015625,1.125,1.34375,1.171875,1.265625
039,1.2890625,1.25,1.328125,1.0546875,1.1015625,1.0703125,1.09375,1.3046875,1.1484375,1.2421875
040,1.265625,1.203125,1.3125,1.0078125,1.0859375,1.046875,1.078125,1.296875,1.1171875,1.234375
041,1.2734375,1.203125,1.34375,1.046875,1.125,1.0859375,1.1015625,1.3125,1.1640625,1.234375
042,1.34375,1.2265625,1.359375,1.078125,1.1875,1.125,1.140625,1.328125,1.1796875,1.25
043,1.3203125,1.234375,1.375,1.0703125,1.15625,1.1328125,1.140625,1.3671875,1.203125,1.3203125
044,1.296875,1.234375,1.375,1.09375,1.1875,1.109375,1.140625,1.34375,1.1953125,1.2890625
045,1.3203125,1.25,1.3125,1.0859375,1.1875,1.1171875,1.1640625,1.328125,1.1796875,1.2890625
046,1.3359375,1.2265625,1.40625,1.078125,1.203125,1.1484375,1.140625,1.359375,1.1953125,1.28125
047,1.328125,1.1875,1.390625,1.0703125,1.1640625,1.1015625,1.171875,1.359375,1.1953125,1.2734375
048,1.2734375,1.25,1.4375,1.09375,1.203125,1.1171875,1.171875,1.328125,1.1796875,1.265625
049,1.296875,1.25,1.375,1.0625,1.1875,1.140625,1.140625,1.328125,1.203125,1.25
050,1.2109375,1.1484375,1.3359375,1.0234375,1.109375,1.078125,1.09375,1.25,1.140625,1.203125
051,1.28125,1.21875,1.3828125,1.0703125,1.1640625,1.1015625,1.1015625,1.3203125,1.1875,1.296875
052,1.265625,1.203125,1.390625,1.0703125,1.1875,1.109375,1.125,1.3125,1.203125,1.2734375
053,1.3203125,1.2109375,1.4140625,1.0546875,1.1953125,1.125,1.125,1.328125,1.1953125,1.296875
054,1.3203125,1.265625,1.453125,1.078125,1.234375,1.1484375,1.1640625,1.359375,1.2421875,1.28125
055,1.3046875,1.234375,1.390625,1.0703125,1.21875,1.140625,1.140625,1.3359375,1.203125,1.2734375
056,1.3203125,1.2421875,1.390625,1.078125,1.1953125,1.1484375,1.125,1.3359375,1.1953125,1.2890625
057,1.3515625,1.234375,1.4453125,1.078125,1.21875,1.15625,1.15625,1.3828125,1.234375,1.34375
058,1.3203125,1.2265625,1.40625,1.0859375,1.2109375,1.15625,1.15625,1.3515625,1.21875,1.296875
059,1.3515625,1.296875,1.40625,1.1015625,1.21875,1.1796875,1.171875,1.359375,1.234375,1.2421875
060,1.2421875,1.1640625,1.3125,1.0234375,1.1328125,1.078125,1.09375,1.2890625,1.1328125,1.265625
061,1.28125,1.1796875,1.375,1.078125,1.171875,1.1328125,1.15625,1.3125,1.1796875,1.3046875
062,1.3046875,1.203125,1.390625,1.078125,1.1640625,1.109375,1.140625,1.328125,1.1640625,1.265625
063,1.3359375,1.2421875,1.421875,1.078125,1.1875,1.140625,1.15625,1.328125,1.2109375,1.3203125
064,1.2890625,1.25,1.40625,1.09375,1.1640625,1.109375,1.171875,1.3046875,1.1875,1.3046875
065,1.3515625,1.265625,1.421875,1.0859375,1.1875,1.140625,1.1484375,1.3515625,1.203125,1.28125
066,1.328125,1.25,1.390625,1.0703125,1.203125,1.1484375,1.171875,1.3515625,1.1875,1.328125
067,1.34375,1.296875,1.390625,1.0859375,1.21875,1.15625,1.1484375,1.3828125,1.203125,1.3203125
068,1.3125,1.28125,1.421875,1.078125,1.1875,1.1484375,1.1484375,1.359375,1.2265625,1.3359375
069,1.328125,1.234375,1.453125,1.1171875,1.1875,1.15625,1.1875,1.328125,1.21875,1.3203125
070,1.28125,1.21875,1.328125,1.015625,1.140625,1.078125,1.109375,1.28125,1.125,1.2265625
071,1.3046875,1.21875,1.40625,1.0703125,1.1875,1.109375,1.1484375,1.3203125,1.1875,1.265625
072,1.3515625,1.25,1.390625,1.0703125,1.203125,1.140625,1.140625,1.328125,1.203125,1.28125
073,1.3359375,1.2734375,1.40625,1.0703125,1.1796875,1.140625,1.171875,1.3515625,1.1953125,1.3125
074,1.34375,1.1953125,1.40625,1.09375,1.1875,1.1640625,1.140625,1.3515625,1.203125,1.296875
075,1.3359375,1.2109375,1.3671875,1.0625,1.1640625,1.140625,1.125,1.3359375,1.171875,1.3046875
076,1.359375,1.2109375,1.40625,1.0703125,1.203125,1.171875,1.140625,1.375,1.2109375,1.2890625
077,1.296875,1.2578125,1.40625,1.0703125,1.1875,1.171875,1.140625,1.3671875,1.2109375,1.3125
078,1.3359375,1.25,1.40625,1.09375,1.171875,1.1484375,1.15625,1.34375,1.203125,1.3125
079,1.3359375,1.28125,1.421875,1.0859375,1.171875,1.1796875,1.125,1.3828125,1.2109375,1.3671875
080,1.21875,1.203125,1.3046875,1.0078125,1.1015625,1.0546875,1.015625,1.265625,1.09375,1.2265625
081,1.2890625,1.1953125,1.359375,1.0703125,1.171875,1.1171875,1.125,1.328125,1.1875,1.2578125
082,1.3203125,1.2578125,1.4140625,1.078125,1.2109375,1.1484375,1.1875,1.3515625,1.2265625,1.28125
083,1.3125,1.1953125,1.40625,1.0625,1.15625,1.1328125,1.1328125,1.3359375,1.1953125,1.28125
084,1.2734375,1.171875,1.3984375,1.046875,1.1875,1.1328125,1.125,1.3125,1.203125,1.25
085,1.3203125,1.2734375,1.375,1.078125,1.171875,1.1484375,1.125,1.328125,1.1796875,1.234375
086,1.3828125,1.2421875,1.4375,1.0859375,1.203125,1.1875,1.15625,1.3984375,1.21875,1.28125
087,1.3359375,1.2578125,1.4375,1.078125,1.1875,1.1640625,1.140625,1.359375,1.2109375,1.265625
088,1.3125,1.2890625,1.421875,1.0625,1.1796875,1.171875,1.15625,1.34375,1.2109375,1.296875
089,1.328125,1.265625,1.4296875,1.0703125,1.1953125,1.1328125,1.1328125,1.34375,1.21875,1.2890625
090,1.296875,1.1953125,1.34375,1.03125,1.140625,1.0703125,1.109375,1.296875,1.1328125,1.2265625
091,1.3203125,1.2265625,1.40625,1.078125,1.1875,1.1015625,1.140625,1.3203125,1.203125,1.25
092,1.3125,1.2265625,1.421875,1.0859375,1.171875,1.1328125,1.1484375,1.3515625,1.203125,1.2734375
093,1.3359375,1.203125,1.4140625,1.0546875,1.203125,1.125,1.15625,1.359375,1.1953125,1.3125
094,1.328125,1.234375,1.421875,1.078125,1.2265625,1.1484375,1.15625,1.375,1.2109375,1.2734375
095,1.3671875,1.2421875,1.390625,1.078125,1.1796875,1.171875,1.1484375,1.3203125,1.203125,1.2890625
096,1.375,1.25,1.4375,1.1015625,1.203125,1.171875,1.1484375,1.390625,1.2109375,1.296875
097,1.375,1.2421875,1.40625,1.09375,1.203125,1.171875,1.1796875,1.34375,1.234375,1.296875
098,1.3984375,1.28125,1.4140625,1.109375,1.2265625,1.171875,1.1875,1.3984375,1.2421875,1.3125
099,1.3203125,1.25,1.421875,1.078125,1.203125,1.140625,1.109375,1.3203125,1.1953125,1.2734375
100,0.96875,0.90625,1.0234375,0.7734375,0.87109375,0.828125,0.828125,0.96484375,0.8984375,0.9140625
101,1.1015625,0.98828125,1.171875,0.859375,0.96484375,0.93359375,0.953125,1.0390625,0.98046875,1.0546875
102,1.1171875,1.0390625,1.21875,0.91015625,1.0,0.953125,1.015625,1.1328125,1.015625,1.1015625
103,1.140625,1.0625,1.234375,0.91015625,1.0234375,0.9765625,0.96875,1.1171875,1.0,1.1328125
104,1.1328125,1.03125,1.21875,0.8984375,1.0,0.96875,0.984375,1.140625,1.015625,1.1015625
105,1.15625,1.03125,1.1875,0.90625,1.0078125,0.95703125,0.984375,1.125,0.99609375,1.09375
106,1.140625,1.0546875,1.1875,0.91796875,1.015625,0.99609375,0.9765625,1.1640625,1.0390625,1.1015625
107,1.109375,1.0703125,1.2578125,0.92578125,1.0390625,0.9609375,0.9921875,1.15625,1.03125,1.15625
108,1.1328125,1.03125,1.234375,0.91015625,1.015625,0.96484375,0.9765625,1.1875,1.015625,1.09375
109,1.1875,1.078125,1.234375,0.92578125,1.03125,0.9765625,1.015625,1.140625,1.0546875,1.1328125
110,1.0703125,1.0234375,1.1796875,0.90234375,0.9765625,0.94921875,0.9609375,1.1328125,1.0,1.0703125
111,1.09375,1.0546875,1.2421875,0.890625,0.96484375,0.9375,0.9453125,1.1640625,0.98046875,1.0859375
112,1.15625,1.046875,1.234375,0.92578125,0.984375,0.97265625,0.98046875,1.140625,1.0234375,1.0859375
113,1.1640625,1.0546875,1.2421875,0.9453125,1.046875,1.015625,1.0,1.125,1.0390625,1.09375
114,1.1953125,1.09375,1.25,0.94140625,1.0625,1.03125,1.0234375,1.1953125,1.0625,1.1328125
115,1.15625,1.0546875,1.203125,0.953125,1.015625,1.0078125,1.0,1.1796875,1.0234375,1.09375
116,1.1328125,1.15625,1.25,0.93359375,1.03125,1.0,0.984375,1.2265625,1.0546875,1.125
117,1.1796875,1.09375,1.25,0.90625,1.046875,1.015625,0.984375,1.203125,1.0390625,1.140625
118,1.125,1.0859375,1.2578125,0.953125,1.046875,0.99609375,1.0390625,1.21875,1.046875,1.1171875
119,1.1328125,1.0625,1.25,0.94921875,1.046875,1.0,1.0,1.1875,1.03125,1.1796875
120,1.09375,0.9765625,1.140625,0.87109375,0.97265625,0.90234375,0.9453125,1.125,0.96484375,1.0546875
121,1.1484375,1.0546875,1.25,0.921875,1.046875,1.0078125,1.015625,1.171875,1.046875,1.1015625
122,1.1328125,1.078125,1.25,0.921875,1.046875,0.98046875,1.0390625,1.1484375,1.03125,1.125
123,1.078125,0.98828125,1.1484375,0.89453125,0.9921875,0.94140625,0.921875,1.1015625,0.97265625,1.09375
124,1.140625,1.0625,1.25,0.93359375,1.0625,0.9921875,0.96484375,1.1875,1.046875,1.1328125
125,1.15625,1.046875,1.140625,0.921875,1.0234375,0.9765625,0.98828125,1.171875,1.0,1.078125
126,1.1875,1.125,1.2421875,0.94921875,1.0703125,1.015625,1.015625,1.2109375,1.0390625,1.140625
127,1.1484375,1.09375,1.28125,0.953125,1.0625,1.0234375,1.0,1.1640625,1.0703125,1.15625
128,1.140625,1.046875,1.21875,0.91796875,1.046875,0.97265625,1.015625,1.1640625,1.046875,1.1015625
129,1.1875,1.125,1.265625,0.96484375,1.046875,0.98828125,1.03125,1.1640625,1.0703125,1.171875
130,1.15625,1.0546875,1.21875,0.90234375,1.0,0.96484375,0.984375,1.15625,1.03125,1.125
131,1.1875,1.09375,1.2578125,0.9453125,1.046875,1.0,1.0234375,1.1640625,1.0625,1.125
132,1.15625,1.1171875,1.265625,0.9453125,1.0390625,0.984375,1.0546875,1.1484375,1.09375,1.125
133,1.140625,1.078125,1.25,0.94921875,1.0390625,0.98828125,1.015625,1.1171875,1.046875,1.109375
134,1.1875,1.1015625,1.28125,0.92578125,1.03125,1.0078125,1.015625,1.1796875,1.0703125,1.078125
135,1.1640625,1.0859375,1.203125,0.93359375,1.046875,0.984375,1.015625,1.1328125,1.03125,1.1328125
136,1.15625,1.1171875,1.25,0.91796875,1.046875,1.0078125,1.03125,1.171875,1.046875,1.1171875
137,1.1875,1.125,1.265625,0.94140625,1.0625,0.99609375,1.0234375,1.1875,1.0703125,1.1953125
